date,open,high,low,close,volume,amount,turnover,adj_close_hfq
2025-03-14,1547.66,1628.01,1541.0,1628.01,92913,14882842708.0,0.74,9386.18
2025-03-17,1657.0,1657.99,1626.88,1637.86,54689,8985138902.0,0.44,9435.67
2025-03-18,1645.04,1652.0,1621.7,1624.0,31613,5153210436.0,0.25,9366.03
2025-03-19,1624.29,1648.0,1623.0,1635.71,27390,4477128770.0,0.22,9424.87
2025-03-20,1635.71,1637.6,1595.07,1604.0,36737,5903879207.0,0.29,9265.53
2025-03-21,1599.0,1612.2,1568.83,1573.75,33614,5324973190.0,0.27,9113.53
2025-03-24,1570.0,1589.66,1562.38,1583.0,25566,4032223482.0,0.2,9160.01
2025-03-25,1588.0,1592.8,1566.66,1575.5,17674,2783286813.0,0.14,9122.32
2025-03-26,1572.77,1582.58,1571.0,1576.0,14324,2257639750.0,0.11,9124.84
2025-03-27,1576.0,1598.25,1573.38,1589.0,17956,2848889210.0,0.14,9190.16
2025-03-28,1590.93,1593.0,1576.0,1585.21,16228,2569470015.0,0.13,9171.11
2025-03-31,1580.98,1586.96,1560.06,1561.0,21085,3311857714.0,0.17,9049.46
2025-04-01,1564.0,1569.89,1552.21,1556.02,18556,2893739955.0,0.15,9024.44
2025-04-02,1558.0,1567.8,1545.5,1549.02,21674,3371883024.0,0.17,8989.27
2025-04-03,1530.0,1586.0,1529.01,1568.88,35481,5557442052.0,0.28,9089.06
2025-04-07,1520.01,1536.85,1462.0,1500.0,101953,15314738235.0,0.81,8742.95
2025-04-08,1513.0,1545.0,1495.0,1545.0,73876,11226977557.0,0.59,8969.07
2025-04-09,1525.02,1556.8,1520.55,1541.04,55630,8562928225.0,0.44,8949.17
2025-04-10,1550.99,1555.0,1528.0,1549.0,38620,5963650791.0,0.31,8989.17
2025-04-11,1579.97,1579.97,1545.0,1568.98,32634,5087359924.0,0.26,9089.56
2025-04-14,1560.97,1566.0,1551.53,1551.99,21711,3379425640.0,0.17,9004.19
2025-04-15,1552.0,1565.0,1545.0,1558.0,21489,3339942729.0,0.17,9034.39
2025-04-16,1552.0,1576.0,1537.0,1559.17,31156,4834880596.0,0.25,9040.27
2025-04-17,1554.0,1576.5,1549.99,1570.0,23846,3733924973.0,0.19,9094.69
2025-04-18,1566.0,1575.0,1556.0,1565.94,20298,3179974340.0,0.16,9074.29
2025-04-21,1565.5,1565.5,1551.0,1551.0,18057,2808158177.0,0.14,8999.22
2025-04-22,1550.0,1556.3,1543.21,1548.8,18432,2857525967.0,0.15,8988.16
2025-04-23,1559.0,1559.22,1545.0,1552.0,18669,2895468892.0,0.15,9004.24
2025-04-24,1552.0,1560.68,1548.98,1552.25,14872,2313372072.0,0.12,9005.5
2025-04-25,1557.1,1561.2,1550.0,1550.0,14765,2295029705.0,0.12,8994.19
2025-04-28,1552.0,1555.0,1546.6,1550.0,14660,2274252465.0,0.12,8994.19
2025-04-29,1550.0,1552.54,1532.02,1544.0,18922,2917422938.0,0.15,8964.04
2025-04-30,1549.99,1566.66,1546.3,1547.0,25754,4005439429.0,0.21,8979.12
2025-05-06,1559.0,1559.0,1544.33,1550.2,18300,2838614215.0,0.15,8995.2
2025-05-07,1570.0,1570.0,1550.2,1555.0,27462,4275142569.0,0.22,9019.32
2025-05-08,1553.0,1592.78,1549.83,1578.19,33481,5265446444.0,0.27,9135.84
2025-05-09,1578.99,1597.45,1575.05,1591.18,23672,3757574546.0,0.19,9201.11
2025-05-12,1598.0,1618.93,1596.61,1604.5,24735,3967785800.0,0.2,9268.04
2025-05-13,1608.92,1608.92,1585.11,1590.3,21258,3386617848.0,0.17,9196.69
2025-05-14,1590.0,1645.0,1588.18,1634.99,39460,6394735058.0,0.31,9421.25
2025-05-15,1634.8,1643.59,1624.13,1632.01,24733,4043402636.0,0.2,9406.27
2025-05-16,1633.99,1636.99,1614.13,1614.13,22935,3714508659.0,0.18,9316.43
2025-05-19,1596.0,1600.0,1573.88,1578.98,38063,6021950010.0,0.3,9139.81
2025-05-20,1580.0,1594.8,1575.1,1586.0,19522,3095742637.0,0.16,9175.08
2025-05-21,1585.0,1595.94,1580.97,1580.97,19795,3143941416.0,0.16,9149.81
2025-05-22,1580.99,1584.99,1570.1,1580.0,15090,2381236586.0,0.12,9144.94
2025-05-23,1575.2,1587.9,1571.66,1572.6,21537,3399424961.0,0.17,9107.75
2025-05-26,1570.0,1574.63,1545.0,1550.5,27087,4212944430.0,0.22,8996.7
2025-05-27,1551.0,1558.6,1543.51,1543.9,17752,2748945675.0,0.14,8963.54
2025-05-28,1543.99,1546.46,1533.0,1537.0,16266,2504624605.0,0.13,8928.87
2025-05-29,1540.0,1555.0,1532.0,1540.0,21860,3375465796.0,0.17,8943.94
2025-05-30,1540.15,1545.0,1515.24,1522.0,31239,4764875947.0,0.25,8853.5
2025-06-03,1508.01,1519.0,1505.02,1509.0,28979,4377892799.0,0.23,8788.18
2025-06-04,1510.5,1523.0,1509.22,1509.96,23008,3480363797.0,0.18,8793.0
2025-06-05,1514.0,1516.0,1502.2,1514.0,23214,3504925524.0,0.18,8813.3
2025-06-06,1513.8,1518.97,1503.0,1506.39,25023,3777727616.0,0.2,8775.06
2025-06-09,1505.02,1508.7,1485.68,1486.11,44959,6723839138.0,0.36,8673.16
2025-06-10,1486.0,1492.0,1474.8,1475.01,30492,4511934584.0,0.24,8617.38
2025-06-11,1476.8,1494.0,1476.1,1480.0,30893,4585522755.0,0.25,8642.46
2025-06-12,1480.0,1483.87,1454.1,1459.0,49904,7306800800.0,0.4,8536.94
2025-06-13,1444.41,1449.97,1425.06,1426.95,59113,8466515559.0,0.47,8375.89
2025-06-16,1401.2,1425.04,1401.18,1422.29,42888,6060448438.0,0.34,8352.48
2025-06-17,1420.0,1427.0,1412.18,1427.0,27232,3868364671.0,0.22,8376.14
2025-06-18,1440.0,1443.44,1421.01,1425.0,30761,4404131364.0,0.24,8366.09
2025-06-19,1426.0,1433.67,1417.18,1426.0,24501,3490268568.0,0.2,8371.12
2025-06-20,1423.58,1441.14,1420.2,1428.66,34816,4990683314.0,0.28,8384.48
2025-06-23,1420.0,1433.0,1405.18,1420.0,26723,3794012343.0,0.21,8340.97
2025-06-24,1423.35,1451.68,1423.35,1437.2,36312,5229183514.0,0.29,8427.4
2025-06-25,1439.11,1449.2,1420.51,1435.86,41050,5869292227.0,0.33,8420.66
2025-06-26,1415.0,1428.0,1410.08,1420.0,34860,4955829982.0,0.28,8479.65
2025-06-27,1420.01,1423.0,1403.09,1403.09,38250,5404312675.0,0.3,8394.68
2025-06-30,1403.5,1413.23,1402.0,1409.52,30457,4287373691.0,0.24,8426.99
2025-07-01,1409.0,1411.94,1403.31,1405.1,19878,2794423203.0,0.16,8404.78
2025-07-02,1409.5,1414.8,1400.0,1409.6,26218,3689246316.0,0.21,8427.4
2025-07-03,1412.0,1422.69,1408.0,1415.6,24413,3456733002.0,0.19,8457.54
2025-07-04,1415.7,1431.89,1410.01,1422.22,28767,4086547268.0,0.23,8490.81
2025-07-07,1422.28,1423.5,1410.01,1410.7,23855,3370562659.0,0.19,8432.92
2025-07-08,1410.71,1420.0,1410.7,1416.11,18674,2643302691.0,0.15,8460.11
2025-07-09,1415.0,1429.97,1414.17,1418.88,27745,3950810723.0,0.22,8474.03
2025-07-10,1418.97,1436.18,1410.4,1426.5,38725,5503329754.0,0.31,8512.31
2025-07-11,1423.16,1458.0,1423.16,1427.0,57243,8239010390.0,0.46,8514.83
2025-07-14,1430.0,1434.98,1421.6,1423.6,27781,3961736006.0,0.22,8497.74
2025-07-15,1420.98,1422.93,1408.32,1411.0,35406,5005150165.0,0.28,8434.43
2025-07-16,1410.01,1417.49,1409.95,1411.03,21286,3006882579.0,0.17,8434.58
2025-07-17,1413.98,1423.01,1412.88,1416.35,23106,3273100406.0,0.18,8461.31
2025-07-18,1420.0,1437.81,1416.38,1437.0,41823,5984949774.0,0.33,8565.07
2025-07-21,1436.99,1446.8,1435.0,1443.0,26203,3779891829.0,0.21,8595.22
2025-07-22,1444.0,1466.6,1440.68,1464.98,42119,6127636851.0,0.34,8705.67
2025-07-23,1469.0,1495.0,1468.95,1475.5,45045,6676301462.0,0.36,8758.53
2025-07-24,1476.0,1499.0,1475.0,1491.5,38804,5786337377.0,0.31,8838.93
2025-07-25,1491.4,1491.4,1453.0,1455.0,41911,6140078741.0,0.33,8655.52
